epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.344,0.96146,3.19024,1.361,0.00331,1,0.63472,0.47818,0.60611,3.4641,1.05488,0.00015003,0.00015003,0.00015003
2,74.2102,0.89351,2.40447,1.26206,0.00345,1,0.71281,0.52563,0.69968,3.36436,1.12866,0.000310459,0.000310459,0.000310459
3,105.799,0.88974,2.00769,1.21343,0.00327,1,0.76018,0.52839,0.7462,3.29472,1.12379,0.000464286,0.000464286,0.000464286
4,136.886,0.88816,1.77344,1.20683,0.4821,0.94444,0.71399,0.50122,0.76896,2.87126,1.23701,0.000611512,0.000611512,0.000611512
5,168.739,0.94249,1.86539,1.27327,0.83854,0.75799,0.96301,0.74713,0.72563,2.6658,1.16643,0.000752137,0.000752137,0.000752137
6,200.08,0.95046,1.68423,1.18105,0.98229,0.72703,0.91746,0.66784,0.8915,2.60831,1.31009,0.000886161,0.000886161,0.000886161
7,229.009,0.88873,1.60123,1.15139,0.90246,0.86777,0.88296,0.62486,0.77522,2.67977,1.20898,0.00101358,0.00101358,0.00101358
8,257.899,0.9021,1.47666,1.17363,0.94746,0.94399,0.9785,0.7934,0.78665,2.5091,1.25496,0.0011344,0.0011344,0.0011344
9,288.8,0.96499,1.55879,1.19126,0.98497,1,0.995,0.83606,0.72932,2.05981,1.19535,0.00124862,0.00124862,0.00124862
10,317.587,0.91648,1.41107,1.15698,0.71827,0.99895,0.88083,0.68045,0.69443,2.39296,1.1356,0.00135624,0.00135624,0.00135624
11,346.327,0.86002,1.47151,1.12,0.68835,0.91091,0.8825,0.70599,0.77034,2.47712,1.18411,0.00133693,0.00133693,0.00133693
12,377.051,0.87414,1.33165,1.1761,0.92377,0.97774,0.9895,0.7043,0.98738,2.48364,1.30705,0.00130393,0.00130393,0.00130393
13,407.865,0.78585,1.37244,1.10072,0.95503,0.94444,0.9895,0.68471,0.87588,2.14399,1.23119,0.00127092,0.00127092,0.00127092
14,436.527,0.80823,1.19947,1.11382,0.9621,0.94444,0.9895,0.80876,0.66048,1.76172,1.09011,0.00123791,0.00123791,0.00123791
15,467.772,0.75631,1.1722,1.08899,0.98475,1,0.995,0.83626,0.65016,1.62351,1.04847,0.00120491,0.00120491,0.00120491
16,496.981,0.80694,1.23194,1.10829,0.95779,0.94827,0.995,0.83474,0.68811,1.47555,1.09016,0.0011719,0.0011719,0.0011719
17,526.01,0.79895,1.14302,1.08367,0.86707,0.93652,0.95617,0.7853,0.69976,1.63162,1.05556,0.00113889,0.00113889,0.00113889
18,554.685,0.81913,1.20749,1.07519,0.90698,0.94444,0.96585,0.78032,0.71641,1.55131,1.12437,0.00110589,0.00110589,0.00110589
19,583.867,0.8715,1.19008,1.15797,0.92471,0.98978,0.9895,0.84296,0.59778,1.51295,1.0585,0.00107288,0.00107288,0.00107288
20,614.264,0.81363,1.13852,1.10527,0.92215,0.99961,0.995,0.84357,0.58839,1.40351,1.05046,0.00103987,0.00103987,0.00103987
21,644.726,0.81724,1.18834,1.11182,0.9279,1,0.995,0.80624,0.60508,1.49491,1.02436,0.00100687,0.00100687,0.00100687
22,675.506,0.86711,1.20684,1.13602,0.90766,1,0.97833,0.81158,0.70601,1.53811,1.07776,0.000973861,0.000973861,0.000973861
23,704.982,0.7731,1.10487,1.09048,0.90442,1,0.96167,0.7761,0.6951,1.48754,1.05514,0.000940855,0.000940855,0.000940855
24,734.654,0.74114,1.04759,1.03681,0.90394,1,0.945,0.7553,0.65107,1.44683,1.05671,0.000907848,0.000907848,0.000907848
25,764.761,0.78379,1.06467,1.11873,0.98092,1,0.995,0.88144,0.55218,1.34079,1.00572,0.000874842,0.000874842,0.000874842
26,795.771,0.79628,1.10238,1.11551,0.91292,0.94791,0.995,0.89117,0.5393,1.29142,0.97981,0.000841835,0.000841835,0.000841835
27,824.827,0.81932,1.07968,1.11763,0.83031,0.99339,0.995,0.88188,0.56191,1.34736,0.9838,0.000808828,0.000808828,0.000808828
28,855.529,0.87357,1.07627,1.13842,0.8435,0.99393,0.995,0.88778,0.5845,1.48586,0.98782,0.000775822,0.000775822,0.000775822
29,884.919,0.76116,1.11497,1.09878,0.96988,1,0.995,0.85862,0.64071,1.47518,1.01595,0.000742815,0.000742815,0.000742815
30,913.373,0.70864,0.97304,1.04328,0.97991,1,0.995,0.88154,0.48281,1.4502,0.94937,0.000709809,0.000709809,0.000709809
31,942.077,0.73638,1.01984,1.10879,0.96708,1,0.995,0.93146,0.45343,1.37913,0.94004,0.000676802,0.000676802,0.000676802
32,973.691,0.7285,0.97525,1.05096,0.89431,1,0.995,0.91961,0.51932,1.43746,0.97143,0.000643795,0.000643795,0.000643795
33,1001.94,0.82384,1.08244,1.13776,0.93537,1,0.995,0.91102,0.511,1.39617,0.97376,0.000610789,0.000610789,0.000610789
34,1030.88,0.68458,0.92365,1.05813,0.92011,0.98785,0.995,0.90241,0.4987,1.25474,0.96944,0.000577782,0.000577782,0.000577782
35,1060.6,0.70764,0.91676,1.03318,0.9364,1,0.995,0.90281,0.51633,1.14915,0.98952,0.000544776,0.000544776,0.000544776
36,1089.36,0.71428,0.89459,1.06305,0.96917,1,0.995,0.9073,0.52543,1.05955,0.9919,0.000511769,0.000511769,0.000511769
37,1117.61,0.74343,0.93016,1.09548,0.98519,1,0.995,0.8765,0.51615,1.00505,0.96372,0.000478762,0.000478762,0.000478762
38,1145.81,0.70624,0.87041,1.03418,0.9879,1,0.995,0.91069,0.46609,0.93605,0.90712,0.000445756,0.000445756,0.000445756
39,1176.55,0.67034,0.85454,1.00932,0.98642,1,0.995,0.90952,0.45598,0.93441,0.90361,0.000412749,0.000412749,0.000412749
40,1204.98,0.67464,0.98171,1.08199,0.98405,1,0.995,0.9039,0.46799,0.94304,0.91072,0.000379743,0.000379743,0.000379743
41,1233.65,0.52947,0.97152,1.00617,0.98363,1,0.995,0.90351,0.46947,0.94438,0.90967,0.000346736,0.000346736,0.000346736
42,1261.42,0.51822,0.98663,0.99267,0.98592,1,0.995,0.9027,0.47997,1.00099,0.91835,0.000313729,0.000313729,0.000313729
43,1289.5,0.46671,0.94904,0.95742,0.98909,1,0.995,0.92091,0.49472,1.00504,0.92576,0.000280723,0.000280723,0.000280723
44,1317.01,0.49922,0.96424,0.98039,0.99182,1,0.995,0.90555,0.48888,0.98544,0.92953,0.000247716,0.000247716,0.000247716
45,1345.03,0.44277,0.89747,0.97496,0.99159,1,0.995,0.90677,0.47465,0.94026,0.93543,0.00021471,0.00021471,0.00021471
46,1372.99,0.48315,0.97361,1.02832,0.99105,1,0.995,0.90866,0.44765,0.94313,0.93492,0.000181703,0.000181703,0.000181703
47,1401.16,0.43829,0.84628,0.94614,0.98894,1,0.995,0.91829,0.43762,0.94908,0.92934,0.000148696,0.000148696,0.000148696
48,1429.69,0.46991,0.8802,0.94637,0.9876,1,0.995,0.91179,0.4278,0.94488,0.92057,0.00011569,0.00011569,0.00011569
49,1459.06,0.44274,0.86035,0.99036,0.98745,1,0.995,0.90364,0.42325,0.94029,0.91376,8.26832e-05,8.26832e-05,8.26832e-05
50,1487.49,0.42921,0.84735,0.9027,0.98774,1,0.995,0.90812,0.41509,0.92696,0.9064,4.96766e-05,4.96766e-05,4.96766e-05
